ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Sub-Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,weight,Weight,Cap
US1894641000,,97.20336017,,,,,,,,,,,,,,0.011764705882352941,8.0,1
US03152W1099,,41.23259229,,,,,,,,,,,,,,0.011764705882352941,5.142462653164245,0
US4529071080,,37.26684327,,,,,,,,,,,,,,0.011764705882352941,4.647860808008884,0
US5488621013,,34.31991314,,,,,,,,,,,,,,0.011764705882352941,4.280324417659621,0
US29664W1053,,33.14409232,,,,,,,,,,,,,,0.011764705882352941,4.133677934432579,0
US7504692077,,32.84252827,,,,,,,,,,,,,,0.011764705882352941,4.096067350704181,0
US0327241065,,25.42868317,,,,,,,,,,,,,,0.011764705882352941,3.171424503246317,0
US62857M1053,,22.97200924,,,,,,,,,,,,,,0.011764705882352941,2.865032078361327,0
US40637H1095,,22.84228926,,,,,,,,,,,,,,0.011764705882352941,2.848853610904626,0
US6515111077,,21.37847342,,,,,,,,,,,,,,0.011764705882352941,2.666288851566516,0
US69366J2006,,19.69712062,,,,,,,,,,,,,,0.011764705882352941,2.4565932321404707,0
JE00BYSS4X48,,18.49696615,,,,,,,,,,,,,,0.011764705882352941,2.30691189518752,0
US0143391052,,15.19714085,,,,,,,,,,,,,,0.011764705882352941,1.8953629863081722,0
BMG0750W2037,,13.62061151,,,,,,,,,,,,,,0.011764705882352941,1.6987407803710042,0
US00900T1079,,13.61951801,,,,,,,,,,,,,,0.011764705882352941,1.6986044008081649,0
US24983L1044,,13.44544096,,,,,,,,,,,,,,0.011764705882352941,1.6768937908590762,0
US88322Q1085,,12.48000864,,,,,,,,,,,,,,0.011764705882352941,1.5564866232757324,0
US0044491043,,12.26947947,,,,,,,,,,,,,,0.011764705882352941,1.5302297634956783,0
US60468T1051,,11.86361266,,,,,,,,,,,,,,0.011764705882352941,1.4796107071456825,0
US5034596040,,11.64405378,,,,,,,,,,,,,,0.011764705882352941,1.4522276764443993,0
US7613301099,,11.10471291,,,,,,,,,,,,,,0.011764705882352941,1.384961949812587,0
US5588681057,,10.96570679,,,,,,,,,,,,,,0.011764705882352941,1.367625329897117,0
US56854Q1013,,10.06145877,,,,,,,,,,,,,,0.011764705882352941,1.254848969891843,0
US19459J1043,,9.99536888,,,,,,,,,,,,,,0.011764705882352941,1.2466063450118363,0
US29251M1062,,9.191280716,,,,,,,,,,,,,,0.011764705882352941,1.1463217612985719,0
US38000Q1022,,8.672918916,,,,,,,,,,,,,,0.011764705882352941,1.0816725105655909,0
NL0010696654,,8.585224541,,,,,,,,,,,,,,0.011764705882352941,1.0707354090329413,0
US29428V1044,,8.51269933,,,,,,,,,,,,,,0.011764705882352941,1.061690181258824,0
US05070R1041,,8.501029563,,,,,,,,,,,,,,0.011764705882352941,1.0602347466709001,0
VGG111961055,,8.221772911,,,,,,,,,,,,,,0.011764705882352941,1.0254063057749836,0
US00448Q2012,,8.151242886,,,,,,,,,,,,,,0.011764705882352941,1.0166099143926937,0
US00461U1051,,8.09170118,,,,,,,,,,,,,,0.011764705882352941,1.0091839684987955,0
US00972L1070,,7.407077564,,,,,,,,,,,,,,0.011764705882352941,0.923798811242794,0
US50127T1097,,7.276509722,,,,,,,,,,,,,,0.011764705882352941,0.9075145997998938,0
US13089P1012,,7.266347825,,,,,,,,,,,,,,0.011764705882352941,0.9062472243353522,0
US76243J1051,,7.246113445,,,,,,,,,,,,,,0.011764705882352941,0.9037236249766678,0
US92915B1061,,7.183072331,,,,,,,,,,,,,,0.011764705882352941,0.895861238540259,0
US23284F1057,,7.116038102999999,,,,,,,,,,,,,,0.011764705882352941,0.8875008373423623,0
US09058V1035,,7.091462344,,,,,,,,,,,,,,0.011764705882352941,0.8844357881710224,0
US04351P1012,,6.587732732,,,,,,,,,,,,,,0.011764705882352941,0.8216114404127284,0
US2060221056,,6.545486502,,,,,,,,,,,,,,0.011764705882352941,0.8163425584932019,0
CA05156V1022,,6.521447062000001,,,,,,,,,,,,,,0.011764705882352941,0.8133443981657232,0
KYG8807B1068,,6.350171697,,,,,,,,,,,,,,0.011764705882352941,0.7919832098677664,0
US05463X1063,,6.148914465,,,,,,,,,,,,,,0.011764705882352941,0.766882731295862,0
US7612991064,,6.1320156720000005,,,,,,,,,,,,,,0.011764705882352941,0.7647751409878152,0
US23257D1037,,6.079508222,,,,,,,,,,,,,,0.011764705882352941,0.7582264961987905,0
US00972D1054,,5.903346922999999,,,,,,,,,,,,,,0.011764705882352941,0.736255942063631,0
US4622601007,,5.876375229,,,,,,,,,,,,,,0.011764705882352941,0.7328920757291533,0
US98887Q1040,,5.394921049,,,,,,,,,,,,,,0.011764705882352941,0.6728458840551877,0
US24344T1016,,5.363039698,,,,,,,,,,,,,,0.011764705882352941,0.6688696931890685,0
US5560991094,,4.8511987130000005,,,,,,,,,,,,,,0.011764705882352941,0.6050337080244961,0
US98419J2069,,4.634884193,,,,,,,,,,,,,,0.011764705882352941,0.5780553086890041,0
US4831191030,,4.53562952,,,,,,,,,,,,,,0.011764705882352941,0.5656764253662032,0
SG9999014716,,4.534835035,,,,,,,,,,,,,,0.011764705882352941,0.5655773384736726,0
IE00BYQMW233,,4.510021576000001,,,,,,,,,,,,,,0.011764705882352941,0.5624826437402961,0
US0453961080,,4.473740043,,,,,,,,,,,,,,0.011764705882352941,0.5579576692458524,0
US00739L1017,,4.409257543,,,,,,,,,,,,,,0.011764705882352941,0.5499155154637074,0
US0396971071,,4.1609360010000005,,,,,,,,,,,,,,0.011764705882352941,0.5189452517769186,0
US68404V1008,,3.806861227,,,,,,,,,,,,,,0.011764705882352941,0.47478561493147664,0
IL0011407140,,3.731170214,,,,,,,,,,,,,,0.011764705882352941,0.4653455534190922,0
US4811161011,,3.336156807,,,,,,,,,,,,,,0.011764705882352941,0.41608011605076733,0
US87184Q1076,,3.313127187,,,,,,,,,,,,,,0.011764705882352941,0.41320789885099435,0
US14888U1016,,3.042221422,,,,,,,,,,,,,,0.011764705882352941,0.37942096716255774,0
US03753U1060,,2.938756587,,,,,,,,,,,,,,0.011764705882352941,0.3665169992004866,0
US00653A1079,,2.771389662,,,,,,,,,,,,,,0.011764705882352941,0.34564326525880135,0
US7207951036,,2.709185108,,,,,,,,,,,,,,0.011764705882352941,0.3378852132413123,0
US3621LQ1099,,2.678821614,,,,,,,,,,,,,,0.011764705882352941,0.33409832706116677,0
US8162121045,,2.533361176,,,,,,,,,,,,,,0.011764705882352941,0.3159567349762731,0
US58549G2093,,2.498082381,,,,,,,,,,,,,,0.011764705882352941,0.3115568203538753,0
US81750R1023,,2.256234199,,,,,,,,,,,,,,0.011764705882352941,0.28139390372415135,0
US67022C1062,,2.219463858,,,,,,,,,,,,,,0.011764705882352941,0.2768079658814202,0
US48283N1063,,2.092117642,,,,,,,,,,,,,,0.011764705882352941,0.26092555045636306,0
US2530311081,,2.069856464,,,,,,,,,,,,,,0.011764705882352941,0.25814917210800964,0
US87164F1057,,2.02326829,,,,,,,,,,,,,,0.011764705882352941,0.2523387699099353,0
US21887L1070,,1.904169294,,,,,,,,,,,,,,0.011764705882352941,0.23748493451070196,0
US74366E1029,,1.845119033,,,,,,,,,,,,,,0.011764705882352941,0.23012028084749422,0
US14757U1097,,1.793175086,,,,,,,,,,,,,,0.011764705882352941,0.22364191524712843,0
NL0012661870,,1.755935437,,,,,,,,,,,,,,0.011764705882352941,0.21899744606477511,0
IL0011327454,,1.722708234,,,,,,,,,,,,,,0.011764705882352941,0.21485340269988465,0
US8051111016,,1.634797298,,,,,,,,,,,,,,0.011764705882352941,0.20388929202730993,0
IE00BYZ5XL97,,1.186770013,,,,,,,,,,,,,,0.011764705882352941,0.14801204898358686,0
US16383L1061,,1.177436379,,,,,,,,,,,,,,0.011764705882352941,0.1468479731494573,0
US6085501095,,1.115194478,,,,,,,,,,,,,,0.011764705882352941,0.1390852632741417,0
US59045L1061,,1.056127561,,,,,,,,,,,,,,0.011764705882352941,0.1317185323013787,0
US01345P1066,,1.033761126,,,,,,,,,,,,,,0.011764705882352941,0.1289290264691242,0
