ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Sub-Classification,Domicile,Primary Listing,Dividend Yield,MLP,REIT,Sector,Industry,Company Name,ROE,Debt/Equity,AISC,weight
CNE100000HD4,,,,,,,,,,,,,,,,,,,,,0.01
CNE100000PP1,,,,,,,,,,,,,,,,,,,,,0.01
JP3637300009,,,,,,,,,,,,,,,,,,,,,0.01
JP3197800000,,,,,,,,,,,,,,,,,,,,,0.01
JP3236200006,,,,,,,,,,,,,,,,,,,,,0.01
JP3802400006,,,,,,,,,,,,,,,,,,,,,0.01
JP3311530004,,,,,,,,,,,,,,,,,,,,,0.01
US0003752047,,,,,,,,,,,,,,,,,,,,,0.01
US0036541003,,,,,,,,,,,,,,,,,,,,,0.01
US00724F1012,,,,,,,,,,,,,,,,,,,,,0.01
US0527691069,,,,,,,,,,,,,,,,,,,,,0.01
US00090Q1031,,,,,,,,,,,,,,,,,,,,,0.01
NL0012969182,,,,,,,,,,,,,,,,,,,,,0.01
US0162551016,,,,,,,,,,,,,,,,,,,,,0.01
US0116421050,,,,,,,,,,,,,,,,,,,,,0.01
AT0000A18XM4,,,,,,,,,,,,,,,,,,,,,0.01
US03662Q1058,,,,,,,,,,,,,,,,,,,,,0.01
CA0019401052,,,,,,,,,,,,,,,,,,,,,0.01
US0080731088,,,,,,,,,,,,,,,,,,,,,0.01
GB00BDD85M81,,,,,,,,,,,,,,,,,,,,,0.01
US0258161092,,,,,,,,,,,,,,,,,,,,,0.01
BMG162581083,,,,,,,,,,,,,,,,,,,,,0.01
US09215C1053,,,,,,,,,,,,,,,,,,,,,0.01
US1143401024,,,,,,,,,,,,,,,,,,,,,0.01
US1011371077,,,,,,,,,,,,,,,,,,,,,0.01
US1924221039,,,,,,,,,,,,,,,,,,,,,0.01
IL0010824113,,,,,,,,,,,,,,,,,,,,,0.01
AU000000COH5,,,,,,,,,,,,,,,,,,,,,0.01
US79466L3024,,,,,,,,,,,,,,,,,,,,,0.01
IL0011334468,,,,,,,,,,,,,,,,,,,,,0.01
FR0000130650,,,,,,,,,,,,,,,,,,,,,0.01
US88554D2053,,,,,,,,,,,,,,,,,,,,,0.01
DK0060738599,,,,,,,,,,,,,,,,,,,,,0.01
US2538681030,,,,,,,,,,,,,,,,,,,,,0.01
US2521311074,,,,,,,,,,,,,,,,,,,,,0.01
US29444U7000,,,,,,,,,,,,,,,,,,,,,0.01
GB00B19NLV48,,,,,,,,,,,,,,,,,,,,,0.01
US3116421021,,,,,,,,,,,,,,,,,,,,,0.01
US31620M1062,,,,,,,,,,,,,,,,,,,,,0.01
US3377381088,,,,,,,,,,,,,,,,,,,,,0.01
US3390411052,,,,,,,,,,,,,,,,,,,,,0.01
US3364331070,,,,,,,,,,,,,,,,,,,,,0.01
US34959E1091,,,,,,,,,,,,,,,,,,,,,0.01
US37940X1028,,,,,,,,,,,,,,,,,,,,,0.01
CH0114405324,,,,,,,,,,,,,,,,,,,,,0.01
US40171V1008,,,,,,,,,,,,,,,,,,,,,0.01
BMG475671050,,,,,,,,,,,,,,,,,,,,,0.01
US4612021034,,,,,,,,,,,,,,,,,,,,,0.01
US4627261005,,,,,,,,,,,,,,,,,,,,,0.01
US46120E6023,,,,,,,,,,,,,,,,,,,,,0.01
US4657411066,,,,,,,,,,,,,,,,,,,,,0.01
CH0371153492,,,,,,,,,,,,,,,,,,,,,0.01
US57636Q1040,,,,,,,,,,,,,,,,,,,,,0.01
US6153691059,,,,,,,,,,,,,,,,,,,,,0.01
DE0006452907,,,,,,,,,,,,,,,,,,,,,0.01
US64110L1061,,,,,,,,,,,,,,,,,,,,,0.01
US6687711084,,,,,,,,,,,,,,,,,,,,,0.01
US81762P1021,,,,,,,,,,,,,,,,,,,,,0.01
US6792951054,,,,,,,,,,,,,,,,,,,,,0.01
US6974351057,,,,,,,,,,,,,,,,,,,,,0.01
US7434241037,,,,,,,,,,,,,,,,,,,,,0.01
US45784P1012,,,,,,,,,,,,,,,,,,,,,0.01
US7437131094,,,,,,,,,,,,,,,,,,,,,0.01
IT0004176001,,,,,,,,,,,,,,,,,,,,,0.01
US69370C1009,,,,,,,,,,,,,,,,,,,,,0.01
US70450Y1038,,,,,,,,,,,,,,,,,,,,,0.01
US74736K1016,,,,,,,,,,,,,,,,,,,,,0.01
US7595301083,,,,,,,,,,,,,,,,,,,,,0.01
GB0007323586,,,,,,,,,,,,,,,,,,,,,0.01
US8030542042,,,,,,,,,,,,,,,,,,,,,0.01
FR0000121972,,,,,,,,,,,,,,,,,,,,,0.01
US83417M1045,,,,,,,,,,,,,,,,,,,,,0.01
ES0143416115,,,,,,,,,,,,,,,,,,,,,0.01
DK0060495240,,,,,,,,,,,,,,,,,,,,,0.01
US8269191024,,,,,,,,,,,,,,,,,,,,,0.01
US83175M2052,,,,,,,,,,,,,,,,,,,,,0.01
US78409V1044,,,,,,,,,,,,,,,,,,,,,0.01
US8486371045,,,,,,,,,,,,,,,,,,,,,0.01
LU1778762911,,,,,,,,,,,,,,,,,,,,,0.01
US8522341036,,,,,,,,,,,,,,,,,,,,,0.01
US78467J1007,,,,,,,,,,,,,,,,,,,,,0.01
IL0011267213,,,,,,,,,,,,,,,,,,,,,0.01
GB00BFMBMT84,,,,,,,,,,,,,,,,,,,,,0.01
KYG851581069,,,,,,,,,,,,,,,,,,,,,0.01
US83088M1027,,,,,,,,,,,,,,,,,,,,,0.01
CH0012100191,,,,,,,,,,,,,,,,,,,,,0.01
CH0012453913,,,,,,,,,,,,,,,,,,,,,0.01
US52603B1070,,,,,,,,,,,,,,,,,,,,,0.01
CA8849037095,,,,,,,,,,,,,,,,,,,,,0.01
US89400J1079,,,,,,,,,,,,,,,,,,,,,0.01
US92826C8394,,,,,,,,,,,,,,,,,,,,,0.01
US9285634021,,,,,,,,,,,,,,,,,,,,,0.01
US92345Y1064,,,,,,,,,,,,,,,,,,,,,0.01
DK0010268606,,,,,,,,,,,,,,,,,,,,,0.01
US98138H1014,,,,,,,,,,,,,,,,,,,,,0.01
DE0007472060,,,,,,,,,,,,,,,,,,,,,0.01
NL0000395903,,,,,,,,,,,,,,,,,,,,,0.01
US24906P1093,,,,,,,,,,,,,,,,,,,,,0.01
NZXROE0001S2,,,,,,,,,,,,,,,,,,,,,0.01
US98980G1022,,,,,,,,,,,,,,,,,,,,,0.01
